,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,São João da Barra,-21.64,-41.05,91.39999999999992,38,57,9.171454,BR,1594660774
1,Palafrugell,41.92,3.16,76.99999999999994,73,40,3.35541,ES,1594660774
2,Wadena,46.44,-95.14,76.99999999999994,65,1,18.342908,US,1594660774
3,Jamestown,42.1,-79.24,73.00399999999996,68,75,13.869028000000002,US,1594660688
4,Visby,57.64,18.3,67.99999999999994,63,43,8.052984,SE,1594660774
5,Hobart,-42.88,147.33,40.99999999999994,93,90,2.23694,AU,1594660677
6,Hermanus,-34.42,19.23,51.99799999999999,73,98,11.0057448,ZA,1594660742
7,Qaanaaq,77.48,-69.36,47.372000000000014,58,33,6.7555588,GL,1594660775
8,Hilo,19.73,-155.09,73.39999999999992,78,20,3.35541,US,1594660775
9,Punta Arenas,-53.15,-70.92,33.799999999999955,85,90,6.934514000000001,CL,1594660622
10,Dikson,73.51,80.55,39.66800000000006,99,100,10.983375400000002,RU,1594660775
11,Tuktoyaktuk,69.45,-133.04,53.599999999999966,76,75,4.697574,CA,1594660775
12,Cowansville,45.2,-72.75,80.00600000000003,61,90,3.35541,CA,1594660750
13,Ushuaia,-54.8,-68.3,33.799999999999955,86,75,19.461378,AR,1594660757
14,San Cristobal,7.77,-72.22,93.19999999999999,38,40,29.974996000000004,VE,1594660775
15,Hualmay,-11.1,-77.61,67.78399999999993,67,13,10.1333382,PE,1594660776
16,Saint-Philippe,-21.36,55.77,67.99999999999994,72,34,2.23694,RE,1594660776
17,Port Alfred,-33.59,26.89,61.141999999999996,39,47,33.061973200000004,ZA,1594660776
18,Ranong,9.97,98.63,78.85399999999998,83,100,11.8334126,TH,1594660507
19,Provideniya,64.38,-173.3,49.76599999999996,65,95,4.7423128000000005,RU,1594660776
20,Bluff,-46.6,168.33,39.00200000000001,83,56,2.9974996000000003,NZ,1594660777
21,Airai,-8.93,125.41,54.536,89,18,4.3844024,TL,1594660777
22,Prince George,53.92,-122.75,60.99799999999999,62,1,9.171454,CA,1594660714
23,Kingsport,36.55,-82.56,84.00200000000001,57,40,3.35541,US,1594660556
24,Lagoa,39.05,-27.98,68.97200000000004,79,81,12.1242148,PT,1594660777
25,Moerai,-22.43,-151.33,69.54799999999994,88,100,18.007367000000002,PF,1594660777
26,Batagay-Alyta,67.8,130.41,54.33800000000002,87,61,3.8699062000000004,RU,1594660777
27,Zhigansk,66.77,123.37,56.353999999999985,87,1,6.822667,RU,1594660778
28,Albany,42.6,-73.97,84.9919999999999,43,18,1.006623,US,1594660731
29,Kapaa,22.08,-159.32,75.19999999999999,73,40,17.224438000000003,US,1594660778
30,Lüderitz,-26.65,15.16,60.80000000000001,77,3,13.869028000000002,NA,1594660778
31,Vila Velha,-20.33,-40.29,89.59999999999997,40,18,5.816044000000001,BR,1594660779
32,Thompson,55.74,-97.86,66.19999999999999,93,75,5.816044000000001,CA,1594660732
33,Barrow,71.29,-156.79,37.39999999999998,86,90,9.171454,US,1594660779
34,Mataura,-46.19,168.86,39.00200000000001,83,89,2.9974996000000003,NZ,1594660779
35,Rikitea,-23.12,-134.97,72.73399999999998,82,62,14.8532816,PF,1594660779
36,Hithadhoo,-0.6,73.08,85.406,72,4,7.7845512,MV,1594660779
37,Busselton,-33.65,115.33,57.00200000000001,74,88,24.516862400000004,AU,1594660779
38,Faanui,-16.48,-151.75,78.27800000000008,76,100,13.846658600000001,PF,1594660780
39,Tasiilaq,65.61,-37.64,46.39999999999998,70,75,8.052984,GL,1594660780
40,Ishim,56.11,69.49,68.98999999999995,74,0,7.3147938,RU,1594660780
41,Golden,39.76,-105.22,89.00600000000003,25,75,4.697574,US,1594660714
42,Anadyr,64.75,177.48,51.799999999999955,87,100,13.42164,RU,1594660780
43,Nikolskoye,59.7,30.79,64.99400000000009,55,20,8.94776,RU,1594660780
44,Ossora,59.24,163.07,50.27000000000004,92,68,3.802798,RU,1594660780
45,Sakakah,29.97,40.21,100.39999999999992,11,3,14.987498000000002,SA,1594660780
46,Lorengau,-2.02,147.27,81.608,73,80,4.250186,PG,1594660781
47,Atuona,-9.8,-139.03,79.62799999999999,78,63,20.602217400000004,PF,1594660781
48,Hokitika,-42.72,170.97,47.696000000000026,77,80,4.2054472,NZ,1594660781
49,Yashan,22.2,109.94,77.14400000000006,92,8,2.7514362,CN,1594660781
50,Shimoda,34.67,138.95,64.99400000000009,94,100,9.7977972,JP,1594660781
51,Sladkovo,55.53,70.34,68.18,79,0,7.381902,RU,1594660781
52,Svecha,58.28,47.52,70.43,82,76,7.270055,RU,1594660781
53,Mercedes,-34.65,-59.43,53.00600000000003,36,32,5.9949992000000005,AR,1594660781
54,Nhulunbuy,-12.23,136.77,73.39999999999992,60,32,14.987498000000002,AU,1594660782
55,Bredasdorp,-34.53,20.04,51.799999999999955,71,93,18.342908,ZA,1594660777
56,Constitución,-35.33,-72.42,60.476000000000056,66,0,6.106846200000001,CL,1594660782
57,Saint Simons,31.14,-81.39,89.99600000000004,59,1,8.052984,US,1594660782
58,East London,-33.02,27.91,67.60399999999998,31,4,24.986619800000003,ZA,1594660782
59,Codrington,-38.27,141.97,42.799999999999955,92,1,6.5318648,AU,1594660782
60,Avarua,-21.21,-159.78,67.99999999999994,77,84,10.289924,CK,1594660782
61,Dhidhdhoo,6.88,73.1,84.27199999999999,71,69,7.158208000000001,MV,1594660782
62,Sinnamary,5.38,-52.95,85.17199999999997,63,21,7.963506400000001,GF,1594660783
63,Laguna,38.42,-121.42,78.00799999999998,50,1,5.816044000000001,US,1594660783
64,Henties Bay,-22.12,14.28,58.99999999999994,84,0,8.008245200000001,NA,1594660783
65,Hannō,35.85,139.32,71.00600000000003,93,75,4.697574,JP,1594660783
66,Amahai,-3.33,128.92,80.00600000000003,98,98,1.006623,ID,1594660783
67,Vaini,-21.2,-175.2,69.80000000000001,77,20,11.408394,TO,1594660783
68,Yar-Sale,66.83,70.83,51.00799999999998,66,93,10.8715284,RU,1594660783
69,Cabo San Lucas,22.89,-109.91,91.39999999999992,45,75,5.816044000000001,MX,1594660604
70,Gijang,35.24,129.21,67.99999999999994,88,90,1.11847,KR,1594660784
71,Lae,-6.72,146.98,75.84800000000001,78,100,3.7580592,PG,1594660784
72,Gouré,13.98,10.27,89.99600000000004,52,70,5.010745600000001,NE,1594660784
73,Sitka,57.05,-135.33,55.39999999999992,76,90,5.816044000000001,US,1594660784
74,Quang Ngai,15.12,108.8,76.334,88,58,5.2120702,VN,1594660784
75,Saldanha,-33.01,17.94,53.599999999999966,66,94,6.934514000000001,ZA,1594660785
76,Miles City,46.41,-105.84,75.19999999999999,23,20,19.461378,US,1594660785
77,Voloshka,61.33,40.09,56.12000000000006,96,100,6.2186932,RU,1594660785
78,Half Moon Bay,37.46,-122.43,66.19999999999999,87,75,4.697574,US,1594660785
79,Chui,-33.7,-53.46,50.37800000000004,48,61,16.0612292,UY,1594660785
80,Carnarvon,-24.87,113.63,69.80000000000001,83,90,8.052984,AU,1594660785
81,Evensk,61.95,159.23,53.34800000000001,90,95,4.115969600000001,RU,1594660785
82,Ancud,-41.87,-73.82,46.39999999999998,65,16,2.23694,CL,1594660786
83,Southbridge,42.08,-72.03,80.99600000000004,69,14,2.9974996000000003,US,1594660715
84,Isiro,2.77,27.62,70.32199999999995,95,67,1.6329662,CD,1594660632
85,Geraldton,-28.77,114.6,64.39999999999992,82,75,20.803542000000004,AU,1594660786
86,Kedrovyy,56.17,91.82,62.599999999999966,93,97,4.47388,RU,1594660786
87,Lima Duarte,-21.84,-43.79,76.99999999999994,38,0,3.35541,BR,1594660786
88,Zharkent,44.16,80.0,70.24999999999994,31,0,3.7580592,KZ,1594660786
89,Sonqor,34.78,47.6,84.19999999999999,12,20,9.171454,IR,1594660786
90,Comodoro Rivadavia,-45.87,-67.5,40.99999999999994,48,40,12.750558000000002,AR,1594660787
91,Bathsheba,13.22,-59.52,89.59999999999997,62,20,23.040482000000004,BB,1594660787
92,Saint Paul Harbor,57.79,-152.41,53.599999999999966,87,90,10.289924,US,1594660660
93,Mahon,39.89,4.27,80.59999999999997,57,0,12.750558000000002,ES,1594660787
94,Licata,37.11,13.95,82.39999999999992,51,71,8.052984,IT,1594660787
95,Nānākuli,21.39,-158.15,75.19999999999999,73,40,3.35541,US,1594660787
96,Longyearbyen,78.22,15.64,49.99999999999994,71,40,4.697574,SJ,1594660787
97,Chamba,32.57,76.13,74.66000000000003,59,2,4.4962494,IN,1594660788
98,Umluj,25.02,37.27,84.46999999999997,58,0,2.9080220000000003,SA,1594660788
99,Avera,33.19,-82.53,89.99600000000004,49,40,8.052984,US,1594660788
100,Birin,26.89,88.07,65.28199999999998,99,53,3.35541,NP,1594660788
101,Dingle,11.0,122.67,77.28799999999995,86,100,0.7381902000000001,PH,1594660788
102,Sanguéya,10.7,-14.37,78.60200000000003,89,94,8.4780026,GN,1594660684
103,Mount Gambier,-37.83,140.77,37.39999999999998,100,90,2.23694,AU,1594660788
104,Kahului,20.89,-156.47,78.80000000000001,65,40,10.289924,US,1594660788
105,Arraial do Cabo,-22.97,-42.03,89.59999999999997,38,0,6.934514000000001,BR,1594660789
106,Yulara,-25.24,130.99,44.599999999999966,52,0,6.934514000000001,AU,1594660789
107,Poronaysk,49.22,143.12,52.77199999999999,94,98,4.809421,RU,1594660789
108,Kharovsk,59.96,40.19,62.78000000000003,92,98,6.0173686,RU,1594660789
109,Sangar,63.92,127.47,60.45799999999991,78,6,9.6412114,RU,1594660789
110,Tommot,58.96,126.29,67.85599999999994,89,27,3.9593838000000003,RU,1594660789
111,Aleksandrov Gay,50.15,48.57,92.66000000000003,14,0,9.0148682,RU,1594660789
112,Butaritari,3.07,172.79,82.95799999999991,75,50,5.9726298,KI,1594660786
113,Narsaq,60.92,-46.05,57.19999999999999,71,75,6.934514000000001,GL,1594660532
114,Keminmaa,65.86,24.82,58.99999999999994,77,20,1.11847,FI,1594660790
115,Castro,-24.79,-50.01,73.63399999999996,57,2,10.893897800000001,BR,1594660790
116,Monte Patria,-30.69,-70.95,79.32199999999995,15,0,4.6528352,CL,1594660790
117,Lebu,-37.62,-73.65,51.548,73,15,3.3330406000000004,CL,1594660790
118,Ashford,51.15,0.87,73.99400000000009,35,29,5.010745600000001,GB,1594660790
119,Luanda,-8.84,13.23,73.39999999999992,78,20,4.697574,AO,1594660790
120,Gawler,-34.6,138.73,44.00599999999997,92,0,3.7804286,AU,1594660524
121,Yellowknife,62.46,-114.35,60.80000000000001,93,90,14.987498000000002,CA,1594660450
122,Rawson,-43.3,-65.1,44.798,57,1,24.5839706,AR,1594660790
123,Hangu,39.25,117.79,73.39999999999992,88,8,5.2120702,CN,1594660791
124,Cape Town,-33.93,18.42,53.00600000000003,71,40,10.289924,ZA,1594660400
125,Upington,-28.45,21.26,55.39999999999992,50,20,11.408394,ZA,1594660791
126,Champawat,29.33,80.1,67.04599999999999,94,57,2.3040482000000004,IN,1594660791
127,Hobyo,5.35,48.53,78.512,72,53,24.718187000000004,SO,1594660791
128,Coyhaique,-45.58,-72.07,42.799999999999955,52,20,8.052984,CL,1594660791
129,Mar del Plata,-38.0,-57.56,46.39999999999998,52,40,19.461378,AR,1594660792
130,Clyde River,70.47,-68.59,49.99999999999994,76,75,6.934514000000001,CA,1594660792
131,Mahébourg,-20.41,57.7,71.59999999999997,83,40,16.105968,MU,1594660792
132,Pochutla,15.74,-96.47,91.00399999999996,52,40,4.160708400000001,MX,1594660792
133,Kaeo,-35.1,173.78,49.99999999999994,3,98,2.5948504,NZ,1594660792
134,Severo-Kuril'sk,50.68,156.12,47.786,90,100,7.941137,RU,1594660792
135,Altamont,42.21,-121.74,69.00799999999998,45,1,8.052984,US,1594660792
136,Boa Esperança do Sul,-21.99,-48.39,84.81200000000007,39,0,6.151585000000001,BR,1594660792
137,Upernavik,72.79,-56.15,41.30599999999998,91,99,4.921268,GL,1594660793
138,Coquimbo,-29.95,-71.34,57.19999999999999,76,20,6.934514000000001,CL,1594660793
139,Te Anau,-45.42,167.72,35.329999999999984,89,53,1.4987498000000001,NZ,1594660793
140,Grindavik,63.84,-22.43,53.599999999999966,76,75,6.934514000000001,IS,1594660794
141,Bom Jesus,-9.07,-44.36,88.59199999999993,36,45,5.2791784,BR,1594660794
142,Verkhoyansk,67.54,133.38,58.35200000000003,81,89,9.171454,RU,1594660794
143,Paramonga,-10.67,-77.83,67.262,69,32,9.9096442,PE,1594660794
144,Dakar,14.69,-17.44,85.99999999999994,70,75,12.750558000000002,SN,1594660427
145,Qian’an,44.99,124.06,72.62600000000003,76,97,5.2344396,CN,1594660794
146,Galveston,29.37,-94.97,93.9919999999999,70,75,14.987498000000002,US,1594660516
147,Eyl,7.98,49.82,80.85200000000003,69,92,25.098466800000004,SO,1594660794
148,Saskylakh,71.92,114.08,61.24999999999994,55,66,8.5674802,RU,1594660794
149,George Town,5.41,100.34,80.00600000000003,88,20,3.35541,MY,1594660795
150,Puerto Baquerizo Moreno,-0.9,-89.6,75.19999999999999,69,20,19.461378,EC,1594660795
151,Khasan,42.43,130.64,59.84600000000006,91,97,2.3264176,RU,1594660795
152,Ketchikan,55.34,-131.65,57.19999999999999,82,90,10.289924,US,1594660795
153,Roald,62.58,6.13,55.994000000000085,82,75,8.052984,NO,1594660795
154,Vao,-22.67,167.48,72.62600000000003,77,100,15.4125166,NC,1594660795
155,Torbay,47.67,-52.73,78.80000000000001,69,75,12.750558000000002,CA,1594660795
156,Tuatapere,-46.13,167.68,39.00200000000001,83,73,2.9974996000000003,NZ,1594660796
157,Denpasar,-8.65,115.22,78.80000000000001,100,40,13.869028000000002,ID,1594660342
158,Port Hardy,50.7,-127.42,55.39999999999992,87,75,5.816044000000001,CA,1594660796
159,Biryukove,47.96,39.74,71.59999999999997,88,40,13.42164,UA,1594660796
160,Amos,48.57,-78.12,60.80000000000001,87,90,8.052984,CA,1594660683
161,Bethel,41.37,-73.41,85.99999999999994,54,75,5.816044000000001,US,1594660796
162,Cidreira,-30.18,-50.21,56.156000000000006,53,94,12.168953600000002,BR,1594660797
163,St. George's,12.06,-61.75,87.80000000000001,66,20,19.461378,GD,1594660559
164,Orlik,52.52,99.83,57.00200000000001,78,83,0.6934514,RU,1594660797
165,Steamboat Springs,40.48,-106.83,78.80000000000001,31,1,4.697574,US,1594660797
166,Esperance,-33.87,121.9,53.599999999999966,40,0,19.461378,AU,1594660797
167,Ilulissat,69.22,-51.1,46.39999999999998,75,75,6.934514000000001,GL,1594660797
168,Yima,34.74,111.88,76.99999999999994,99,100,4.47388,CN,1594660797
169,Kavieng,-2.57,150.8,81.62600000000003,78,61,11.766304400000001,PG,1594660798
170,Iqaluit,63.75,-68.51,62.599999999999966,48,20,20.803542000000004,CA,1594660798
171,Tiruchchendur,8.48,78.12,86.61200000000002,67,96,6.822667,IN,1594660798
172,Hong Kong,22.29,114.16,85.99999999999994,74,12,8.9924988,HK,1594660705
173,Tabuk,17.42,121.44,74.24600000000004,93,100,3.6238428000000007,PH,1594660798
174,Portland,45.52,-122.68,66.9919999999999,67,20,3.690951,US,1594660560
175,Monaco-Ville,43.73,7.42,78.80000000000001,61,40,5.816044000000001,FR,1594660798
176,Blackwater,-23.58,148.88,47.48000000000002,59,0,8.4556332,AU,1594660798
177,Meulaboh,4.14,96.13,77.89999999999992,83,98,4.115969600000001,ID,1594660798
178,Iquitos,-3.75,-73.25,84.19999999999999,74,75,5.816044000000001,PE,1594660580
179,Batemans Bay,-35.72,150.18,53.00600000000003,100,100,5.010745600000001,AU,1594660798
180,Egvekinot,66.32,-179.17,46.74199999999996,88,46,4.854159800000001,RU,1594660799
181,Khatanga,71.97,102.5,58.76600000000002,61,26,8.4556332,RU,1594660799
182,Bandar-e Anzali,37.47,49.46,80.59999999999997,88,75,6.934514000000001,IR,1594660577
183,Curvelo,-18.76,-44.43,85.82,28,0,2.5501116,BR,1594660799
184,Ponta do Sol,32.67,-17.1,71.99600000000004,68,2,2.23694,PT,1594660799
185,Chenghai,23.46,116.77,85.99999999999994,79,92,4.47388,CN,1594660799
186,Arrondissement du Havre,49.58,0.33,69.99799999999999,52,82,10.289924,FR,1594660799
187,New Norfolk,-42.78,147.06,39.99199999999996,91,0,1.9685072000000001,AU,1594660790
188,Bengkulu,-3.8,102.27,75.90199999999999,90,100,3.9817532000000004,ID,1594660799
189,Wanning,18.8,110.4,81.24799999999999,87,29,6.688450600000001,CN,1594660800
190,San Quintín,30.48,-115.95,76.13600000000002,57,5,8.724066,MX,1594660800
191,Kindu,-2.95,25.95,72.64400000000006,88,100,1.565858,CD,1594660800
192,Lavrentiya,65.58,-171.0,43.86200000000002,78,100,5.1897008,RU,1594660800
193,Namatanai,-3.67,152.43,78.368,81,100,6.598973000000001,PG,1594660801
194,Kaitangata,-46.28,169.85,40.99999999999994,84,58,4.0041226000000005,NZ,1594660801
195,Menongue,-14.66,17.69,66.61399999999998,24,0,5.144962,AO,1594660801
196,Nanortalik,60.14,-45.24,45.48199999999997,91,100,1.3869028,GL,1594660801
197,Cherskiy,68.75,161.3,53.67199999999997,75,5,2.3935258000000004,RU,1594660801
198,Ostrovnoy,68.05,39.51,49.549999999999955,76,79,4.160708400000001,RU,1594660802
199,Trincomalee,8.57,81.23,83.19199999999995,75,71,8.7016966,LK,1594660802
200,Husavik,66.04,-17.34,57.19999999999999,71,75,12.750558000000002,IS,1594660802
201,Kromy,52.69,35.77,65.49799999999999,92,87,11.967629,RU,1594660803
202,Dhārchula,29.85,80.53,70.05200000000008,74,66,1.3197946,IN,1594660803
203,Dobson,36.4,-80.72,85.99999999999994,58,1,3.2211936,US,1594660803
204,Fare,-16.7,-151.02,79.03399999999993,79,100,12.817666200000001,PF,1594660803
205,Sola,-13.88,167.55,79.844,83,26,22.704941,VU,1594660804
206,Alice Springs,-23.7,133.88,33.799999999999955,64,0,6.2186932,AU,1594660804
207,Linxia Chengguanzhen,35.6,103.21,63.68000000000001,78,100,3.0869771999999998,CN,1594660804
208,Port Elizabeth,-33.92,25.57,57.19999999999999,58,52,13.869028000000002,ZA,1594660804
209,Ciudad del Maíz,22.4,-99.6,87.99799999999999,20,0,1.006623,MX,1594660804
210,The Valley,18.22,-63.06,89.59999999999997,70,40,16.105968,AI,1594660556
211,Lamar,33.67,-95.58,87.80000000000001,79,40,10.289924,US,1594660804
212,Vanderhoof,54.02,-124.02,59.46800000000002,51,0,9.9767524,CA,1594660804
213,Celestún,20.87,-90.4,89.09600000000006,52,0,4.6304658,MX,1594660805
214,Hasaki,35.73,140.83,69.80000000000001,94,90,3.35541,JP,1594660805
215,Tuy Hoa,13.08,109.3,78.76399999999995,87,71,4.876529200000001,VN,1594660805
216,Olafsvik,64.89,-23.71,53.23999999999995,77,21,4.250186,IS,1594660805
217,Flinders,-34.58,150.86,53.99600000000004,84,24,7.0016222,AU,1594660805
218,Asău,46.43,26.4,60.99799999999999,60,50,4.876529200000001,RO,1594660805
219,Gizo Government Station,-8.1,156.84,82.13000000000005,74,99,7.180577400000001,SB,1594660805
220,Nadym,65.53,72.52,50.43199999999996,71,100,12.661080400000001,RU,1594660805
221,Arrondissement de Cholet,47.17,-1.0,80.99600000000004,32,8,5.816044000000001,FR,1594660806
222,Padang,-0.95,100.35,79.05200000000008,70,100,3.2211936,ID,1594660806
223,Inhambane,-23.86,35.38,69.80000000000001,68,0,8.6793272,MZ,1594660806
224,Vardø,70.37,31.11,48.19999999999993,87,5,6.934514000000001,NO,1594660806
225,Cedar City,37.68,-113.06,91.39999999999992,14,1,18.342908,US,1594660741
226,Bandarbeyla,9.49,50.81,79.358,75,61,30.6013392,SO,1594660806
227,Marathon,44.9,-89.77,76.99999999999994,53,1,4.048861400000001,US,1594660806
228,Jumla,29.27,82.18,63.787999999999954,72,90,1.4316416,NP,1594660807
229,Carutapera,-1.2,-46.02,83.084,76,88,6.643711800000001,BR,1594660807
230,Ribeira Grande,38.52,-28.7,73.39999999999992,69,75,16.105968,PT,1594660808
231,Rochegda,62.8,43.25,56.24600000000004,84,100,3.7580592,RU,1594660808
232,Tezu,27.92,96.17,78.656,72,91,3.0869771999999998,IN,1594660808
233,Saint Anthony,45.02,-93.22,82.99400000000009,48,1,13.869028000000002,US,1594660808
234,Ambon City,-3.7,128.18,75.9919999999999,16,100,13.242684800000001,ID,1594660808
235,Kieta,-6.22,155.63,78.62000000000006,79,89,2.6843280000000003,PG,1594660808
236,Salgado,-11.03,-37.48,82.39999999999992,65,40,6.934514000000001,BR,1594660808
237,Port Moresby,-9.44,147.18,75.18199999999996,92,100,9.171454,PG,1594660809
238,Mount Isa,-20.73,139.5,51.799999999999955,53,15,6.934514000000001,AU,1594660809
239,Glenwood Springs,39.55,-107.32,80.00600000000003,39,40,11.408394,US,1594660809
240,Jaru,-10.44,-62.47,93.70400000000001,43,15,2.5277422,BR,1594660809
241,Bambanglipuro,-7.95,110.28,75.97399999999999,85,78,4.026492,ID,1594660809
242,Varna,43.22,27.92,73.39999999999992,38,20,13.869028000000002,BG,1594660809
243,Mazagão,-0.12,-51.29,93.19999999999999,56,40,5.816044000000001,BR,1594660810
244,Shelburne,44.08,-80.2,69.80000000000001,73,75,8.052984,CA,1594660810
245,Erice,38.04,12.59,82.39999999999992,83,20,12.750558000000002,IT,1594660810
246,Tsagan Aman,47.56,46.72,90.12200000000001,23,34,13.5558564,RU,1594660810
247,Metro,-5.11,105.31,74.67800000000005,92,29,3.3106712000000003,ID,1594660810
248,Saint-Paul,-21.01,55.27,71.59999999999997,68,8,16.105968,RE,1594660577
249,Nouadhibou,20.93,-17.03,76.99999999999994,73,0,18.342908,MR,1594660810
250,Bereda,43.27,-7.54,73.99400000000009,52,0,15.009867400000001,ES,1594660811
251,Los Llanos de Aridane,28.66,-17.92,75.19999999999999,69,40,14.987498000000002,ES,1594660672
252,Margate,51.38,1.39,75.00200000000001,39,63,4.0041226000000005,GB,1594660811
253,Santa Inês,-3.67,-45.38,85.82,66,41,3.9817532000000004,BR,1594660811
254,Cabedelo,-6.98,-34.83,84.19999999999999,48,20,12.750558000000002,BR,1594660605
255,Inuvik,68.35,-133.72,55.39999999999992,76,75,5.3686560000000005,CA,1594660787
256,Port Macquarie,-31.43,152.92,48.99199999999996,74,24,11.028114200000001,AU,1594660811
257,Doha,25.29,51.53,98.00600000000003,71,36,9.171454,QA,1594660811
258,Norman Wells,65.28,-126.83,60.80000000000001,63,20,10.289924,CA,1594660554
259,Puerto Ayora,-0.74,-90.35,76.99999999999994,65,40,18.342908,EC,1594660812
260,Hambantota,6.12,81.12,81.77000000000004,83,55,15.7033188,LK,1594660779
261,Alta Floresta,-9.88,-56.09,96.53000000000003,25,34,4.115969600000001,BR,1594660812
262,Salalah,17.02,54.09,82.39999999999992,94,75,5.816044000000001,OM,1594660813
263,Gornopravdinsk,60.05,69.9,63.15799999999996,69,2,4.697574,RU,1594660813
264,Touros,-5.2,-35.46,84.19999999999999,58,40,11.408394,BR,1594660813
265,Morgan City,29.7,-91.21,93.00200000000001,75,75,10.289924,US,1594660813
266,Bako,5.78,36.57,65.19199999999995,84,99,3.5343652000000003,ET,1594660813
267,Lingyuan,41.24,119.4,67.20799999999991,78,92,4.451510600000001,CN,1594660813
268,Jalu,29.03,21.55,91.70599999999996,14,0,6.8002976,LY,1594660813
269,Las Vegas,36.17,-115.14,103.99999999999994,11,1,9.171454,US,1594660606
270,Hue,16.47,107.6,82.39999999999992,78,20,4.697574,VN,1594660783
271,Kiryat Gat,31.61,34.76,82.99400000000009,64,0,6.3529096,IL,1594660562
272,Hlobyne,49.39,33.26,60.62000000000006,78,98,15.613841200000001,UA,1594660814
273,Boysun,38.21,67.2,73.47200000000004,36,42,1.0737312,UZ,1594660814
274,Innisfail,-17.53,146.03,62.20400000000001,65,13,7.5608572,AU,1594660814
